appid,required_age,is_free,price,developers,categories,release_date,genres,name,Historico,review_score,review_score_desc,total_reviews,categories_numerico,genres_numerico
2001120,0,False,44900,Hazelight Studios,"('Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Camera Comfort', 'Color Alternatives', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Remote Play Together', 'HDR available', 'Family Sharing')",2025-03-06 00:00:00,"('Action', 'Adventure')",Split Fiction,259003,9,Overwhelmingly Positive,17866,"(0, 18, 24, 56, 57, 1, 25, 26, 2, 51, 6, 7, 10, 11, 32, 54, 33, 36)","(0, 3)"
1607250,0,True,0,Byking Inc.,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support')",2023-09-28 00:00:00,"('Action', 'Casual', 'Free To Play')",MY HERO ULTRA RUMBLE,46591,5,Mixed,19,"(22, 0, 20, 21, 18, 24, 1, 25, 4, 35)","(0, 6, 1)"
3231090,0,True,0,AmarilloArts,"('Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards')",2024-10-04 00:00:00,"('Casual', 'Simulation', 'Free To Play')",Amarillo's Butt Slapper,113068,0,No user reviews,0,"(22, 25, 32, 59)","(6, 12, 1)"
2763740,0,True,0,Oni Gaming,"('Single-player', 'In-App Purchases')",2025-05-01 00:00:00,"('Casual', 'Indie', 'Simulation', 'Free To Play')",Revolution Idle,20515,0,No user reviews,0,"(22, 4)","(6, 7, 12, 1)"
2429640,13,True,0,NCSOFT,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound')",2024-10-01 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play')",THRONE AND LIBERTY,336300,6,Mostly Positive,6032,"(0, 23, 20, 21, 18, 24, 1, 25, 26, 4, 5, 6, 7, 8, 9, 49, 10, 11)","(0, 3, 4, 5, 1)"
814380,17,False,47650,"FromSoftware, Inc.","('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing')",2019-03-21 00:00:00,"('Action', 'Adventure')",Sekiro™: Shadows Die Twice,125315,8,Very Positive,82509,"(22, 25, 26, 2, 32, 15, 16, 36)","(0, 3)"
2062430,0,False,8300,Kenny Sun and Friends,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing')",2025-10-15 00:00:00,"('Action', 'Indie')",BALL x PIT,35402,9,Overwhelmingly Positive,7134,"(22, 25, 26, 32, 59, 36)","(0, 7)"
2062430,0,False,8300,Kenny Sun and Friends,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing')",2025-10-15 00:00:00,"('Action', 'Indie')",ball,4716,9,Overwhelmingly Positive,7134,"(22, 25, 26, 32, 59, 36)","(0, 7)"
376210,0,False,10500,Afterthought LLC,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Partial Controller Support', 'Valve Anti-Cheat enabled')",2015-12-01 00:00:00,"('Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access')",The Isle,14131,6,Mostly Positive,51713,"(0, 23, 20, 21, 35, 12)","(0, 3, 7, 4, 12, 15)"
1248130,0,False,19950,Giants Software,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing')",2021-11-21 00:00:00,"('Simulation',)",Farming Simulator 22,105636,8,Very Positive,24475,"(22, 0, 18, 24, 1, 25, 26, 2, 32, 16, 36)","(12,)"
1151340,17,False,26799,Bethesda Game Studios,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Remote Play on Tablet')",2020-04-14 00:00:00,"('RPG',)",Fallout 76,73368,6,Mostly Positive,40804,"(0, 23, 20, 21, 18, 24, 25, 4, 9, 10, 11, 35, 15)","(5,)"
1151340,17,False,26799,Bethesda Game Studios,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Remote Play on Tablet')",2020-04-14 00:00:00,"('RPG',)",Fallout,8130,6,Mostly Positive,40804,"(0, 23, 20, 21, 18, 24, 25, 4, 9, 10, 11, 35, 15)","(5,)"
1407200,0,True,0,Wargaming Group Limited,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound')",2021-04-28 00:00:00,"('Action', 'Massively Multiplayer', 'Simulation', 'Free To Play')",World of Tanks,24172,6,Mostly Positive,178,"(0, 23, 20, 21, 25, 2, 4, 7, 8, 9, 10, 11)","(0, 4, 12, 1)"
1295660,0,False,62999,Firaxis Games,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Chat Text-to-speech', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Mouse Only Option', 'Narrated Game Menus', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Touch Only Option', 'HDR available', 'Family Sharing')",2025-02-10 00:00:00,"('Simulation', 'Strategy')",Sid Meier's Civilization VII,84558,5,Mixed,24923,"(22, 0, 20, 21, 58, 1, 25, 26, 2, 3, 5, 6, 28, 7, 8, 29, 60, 62, 9, 49, 10, 11, 64, 33, 36)","(12, 2)"
3681810,0,True,0,Shanghai Bokura Network Technology Co.Ltd,"('Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases')",2025-10-09 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play')",Blue Protocol: Star Resonance,94459,0,No user reviews,0,"(22, 0, 23, 18, 24, 25, 4)","(0, 3, 4, 5, 1)"
2709570,0,True,0,DeadDevsTellNoLies,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud')",2024-08-09 00:00:00,"('Casual', 'Indie', 'Simulation', 'Free To Play')",Supermarket Together,47836,7,Positive,26,"(22, 0, 18, 24, 25, 32)","(6, 7, 12, 1)"
2016590,17,True,0,IRONMACE,"('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Partial Controller Support')",2024-06-07 00:00:00,"('Action', 'RPG', 'Free To Play', 'Early Access')",Dark and Darker,57164,5,Mixed,37,"(0, 20, 21, 18, 24, 4, 35)","(0, 5, 1, 15)"
1874880,17,False,17150,Bohemia Interactive,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud')",2023-11-16 00:00:00,"('Action', 'Simulation', 'Strategy')",Arma Reforger,23050,6,Mostly Positive,23303,"(22, 0, 20, 21, 18, 24, 1, 25, 26, 51, 32)","(0, 12, 2)"
1285190,18,False,0,Gearbox Software,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support', 'Family Sharing')",2025-09-11 00:00:00,"('Action', 'Adventure', 'RPG')",Borderlands® 4,304398,5,Mixed,37013,"(22, 0, 18, 24, 1, 25, 5, 6, 7, 8, 29, 49, 10, 31, 11, 35, 36)","(0, 3, 5)"
3557620,0,True,0,NEXON Games,"('Single-player', 'In-App Purchases', 'Custom Volume Controls', 'Mouse Only Option', 'Stereo Sound', 'Subtitle Options')",2025-07-03 00:00:00,"('Adventure', 'Casual', 'RPG', 'Strategy', 'Free To Play')",Blue Archive,27077,0,No user reviews,0,"(22, 4, 8, 60, 10, 31)","(3, 6, 5, 2, 1)"
2707930,0,True,0,Singularity 6 Corporation,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support')",2024-03-25 00:00:00,"('Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Free To Play')",Palia,18179,7,Positive,25,"(22, 0, 18, 24, 1, 25, 4, 35)","(3, 6, 7, 5, 12, 1)"
1984270,0,False,0,Media.Vision Inc.,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing')",2025-10-02 00:00:00,"('RPG',)",Digimon Story Time Stranger,84458,8,Very Positive,5392,"(22, 25, 26, 32, 36)","(5,)"
714010,0,True,0,Statespace,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor')",2023-06-16 00:00:00,"('Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Free To Play')",Aimlabs,15141,6,Mostly Positive,95,"(22, 25, 26, 3, 4, 32, 13, 59, 34)","(0, 3, 6, 7, 12, 1)"
1361210,0,False,27999,Fatshark,"('Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'Family Sharing')",2022-11-30 00:00:00,"('Action', 'Adventure', 'RPG')","Warhammer 40,000: Darktide",108395,6,Mostly Positive,67647,"(0, 18, 24, 1, 25, 51, 4, 35, 36)","(0, 3, 5)"
444200,0,True,0,Wargaming Group Limited,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Save Anytime', 'Stereo Sound', 'Touch Only Option')",2016-11-09 00:00:00,"('Action', 'Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play')",World of Tanks Blitz,56669,6,Mostly Positive,222,"(0, 23, 20, 21, 18, 24, 1, 2, 4, 6, 7, 8, 49, 10, 64)","(0, 4, 12, 2, 1)"
3354750,0,True,0,Full Circle,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Camera Comfort', 'Custom Volume Controls', 'Stereo Sound', 'HDR available')",2025-09-16 00:00:00,"('Action', 'Sports', 'Free To Play', 'Early Access')",skate.,134901,6,Mostly Positive,199,"(0, 23, 20, 21, 18, 24, 1, 25, 26, 4, 6, 8, 10, 33)","(0, 14, 1, 15)"
1812620,0,False,5750,Paliverse,"('Single-player', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud')",2022-06-24 00:00:00,"('Utilities',)",DSX,8794,5,Mixed,2513,"(22, 25, 3, 35, 32)","(11,)"
2352620,0,False,13000,Chief Rebel,"('Multi-player', 'Co-op', 'Online Co-op', 'Adjustable Text Size', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Family Sharing')",2025-10-16 00:00:00,"('RPG', 'Early Access')",Fellowship,43841,6,Mostly Positive,7673,"(0, 18, 24, 5, 6, 8, 29, 9, 10, 36)","(5, 15)"
1794680,0,False,2699,poncle,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing')",2022-10-20 00:00:00,"('Action', 'Casual', 'Indie', 'RPG')",Vampire Survivors,77061,9,Overwhelmingly Positive,123735,"(22, 0, 18, 24, 25, 26, 2, 32, 54, 36)","(0, 6, 7, 5)"
357070,0,False,310,Walter Machado,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Family Sharing')",2015-08-13 00:00:00,"('Action', 'Indie')",UBERMOSH,7239,8,Very Positive,1740,"(22, 25, 26, 2, 36)","(0, 7)"
440900,0,False,19500,Funcom,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing')",2018-05-08 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy')",Conan Exiles,53402,6,Mostly Positive,36909,"(22, 0, 20, 21, 18, 24, 25, 26, 2, 3, 15, 16, 36)","(0, 3, 4, 5, 12, 2)"
233860,0,False,11500,Lo-Fi Games,"('Single-player', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor', 'Family Sharing')",2018-12-06 00:00:00,"('Action', 'Indie', 'RPG', 'Simulation', 'Strategy')",Kenshi,11654,9,Overwhelmingly Positive,44553,"(22, 2, 3, 34, 36)","(0, 7, 5, 12, 2)"
2344520,17,False,47500,"Blizzard Entertainment, Inc.","('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases')",2023-10-17 00:00:00,"('Action', 'RPG')",Diablo® IV,55561,6,Mostly Positive,15139,"(22, 0, 20, 21, 18, 24, 1, 25, 26, 4)","(0, 5)"
3659280,0,True,0,Gunzilla Games,"('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'HDR available')",2025-07-17 00:00:00,"('Action', 'Massively Multiplayer', 'Free To Play')",Off The Grid,13665,0,No user reviews,0,"(0, 20, 21, 18, 24, 1, 4, 7, 8, 9, 10, 11, 35, 33)","(0, 4, 1)"
2325290,0,True,0,thatgamecompany,"('Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'In-App Purchases', 'HDR available')",2024-04-10 00:00:00,"('Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Free To Play', 'Early Access')",Sky: Children of the Light,8806,0,No user reviews,0,"(22, 0, 23, 18, 24, 1, 26, 4, 33)","(3, 6, 7, 4, 5, 1, 15)"
2471100,0,True,0,Sylv,"('Single-player', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud')",2023-07-27 00:00:00,"('Casual', 'Simulation', 'Free To Play', 'Early Access')",Unnamed Space Idle,6385,0,No user reviews,0,"(22, 25, 4, 32)","(6, 12, 1, 15)"
3117820,0,False,13000,Double Cross,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing')",2025-03-30 00:00:00,"('Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy')",Sultan's Game,46106,8,Very Positive,960,"(22, 25, 26, 2, 3, 32, 36)","(3, 7, 5, 12, 2)"
1284210,0,True,0,ArenaNet®,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases')",2022-08-23 00:00:00,"('Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play')",Guild Wars 2,10875,8,Very Positive,280,"(0, 23, 20, 21, 18, 24, 4)","(3, 4, 5, 1)"
1284210,0,True,0,ArenaNet®,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases')",2022-08-23 00:00:00,"('Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play')",Guild Wars,1297,8,Very Positive,280,"(0, 23, 20, 21, 18, 24, 4)","(3, 4, 5, 1)"
1468810,0,False,7700,鬼谷工作室,"('Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing')",2023-05-26 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Simulation')",鬼谷八荒 Tale of Immortal,184171,6,Mostly Positive,3582,"(22, 25, 26, 3, 32, 15, 36)","(0, 3, 7, 5, 12)"
977400,0,True,0,Computer Lunch,"('Single-player', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud')",2021-11-03 00:00:00,"('Casual', 'Simulation', 'Free To Play')",Cell to Singularity - Evolution Never Ends,7340,0,No user reviews,0,"(22, 25, 4, 35, 32)","(6, 12, 1)"
700330,0,True,0,Northwood Studios,"('Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled')",2017-12-29 00:00:00,"('Action', 'Casual', 'Indie', 'RPG', 'Free To Play')",SCP: Secret Laboratory,13908,0,No user reviews,0,"(0, 20, 21, 25, 32, 12)","(0, 6, 7, 5, 1)"
2445690,0,False,7470,Hunter Studio,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Remote Play Together', 'Family Sharing')",2024-07-24 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Early Access')",Lost Castle 2,20280,8,Very Positive,790,"(22, 0, 18, 24, 56, 57, 25, 35, 32, 13, 54, 36)","(0, 3, 7, 5, 15)"
2445690,0,False,7470,Hunter Studio,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Remote Play Together', 'Family Sharing')",2024-07-24 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Early Access')",Lost Castle,4701,8,Very Positive,790,"(22, 0, 18, 24, 56, 57, 25, 35, 32, 13, 54, 36)","(0, 3, 7, 5, 15)"
534380,18,False,39990,Techland,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing')",2022-02-03 00:00:00,"('Action', 'Adventure', 'RPG')",Dying Light 2: Reloaded Edition,274983,6,Mostly Positive,66080,"(22, 0, 18, 24, 25, 26, 2, 32, 16, 36)","(0, 3, 5)"
3059520,0,False,53900,Codemasters,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Workshop', 'In-App Purchases', 'Adjustable Difficulty', 'Keyboard Only Option', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'HDR available', 'Family Sharing')",2025-05-30 00:00:00,"('Racing', 'Simulation', 'Sports')",F1® 25,22595,8,Very Positive,4178,"(22, 0, 20, 21, 58, 55, 18, 24, 53, 57, 1, 25, 26, 48, 3, 4, 29, 30, 9, 10, 11, 32, 33, 36)","(13, 12, 14)"
1876890,0,False,13000,The Swordman Studio,"('Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing')",2023-09-14 00:00:00,"('Adventure', 'Indie', 'RPG', 'Strategy')",Wandering Sword,22824,9,Overwhelmingly Positive,2039,"(22, 25, 35, 32, 36)","(3, 7, 5, 2)"
916440,0,False,39900,Ubisoft Mainz,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available')",2019-04-16 00:00:00,"('Simulation', 'Strategy')",Anno 1800,25302,6,Mostly Positive,10774,"(22, 0, 20, 21, 18, 24, 25, 2, 51)","(12, 2)"
3198850,0,True,0,"HAEGIN Co.,Ltd.","('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support')",2025-01-13 00:00:00,"('Casual', 'Free To Play')",Play Together,5951,0,No user reviews,0,"(0, 23, 20, 21, 18, 24, 1, 25, 4, 35)","(6, 1)"
8500,0,True,0,CCP,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'Adjustable Text Size', 'Color Alternatives', 'Custom Volume Controls', 'Stereo Sound', 'Surround Sound')",2010-12-15 00:00:00,"('Action', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play')",EVE Online,10627,6,Mostly Positive,5249,"(0, 23, 20, 21, 18, 24, 2, 5, 7, 8, 10, 11)","(0, 4, 5, 2, 1)"
270880,0,False,10900,SCS Software,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play Together', 'Family Sharing')",2016-02-02 00:00:00,"('Indie', 'Simulation')",American Truck Simulator,19153,9,Overwhelmingly Positive,86938,"(22, 0, 18, 24, 25, 2, 3, 6, 8, 29, 30, 9, 49, 10, 11, 35, 32, 34, 54, 36)","(7, 12)"
3213850,0,False,6800,ambr,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing')",2025-04-30 00:00:00,"('Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Sports', 'Free To Play')",gogh: Focus with Your Avatar,8236,8,Very Positive,499,"(22, 0, 18, 24, 25, 32, 36)","(0, 3, 6, 7, 5, 12, 14, 1)"
2186680,0,False,23800,Owlcat Games,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Adjustable Text Size', 'Custom Volume Controls', 'Mouse Only Option', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing')",2023-12-07 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Strategy')","Warhammer 40,000: Rogue Trader",45405,8,Very Positive,15261,"(22, 0, 18, 24, 1, 25, 2, 3, 5, 8, 60, 49, 10, 31, 11, 35, 32, 36)","(0, 3, 7, 5, 2)"
3199170,0,True,0,NetEase Games,"('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support')",2025-03-13 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'Strategy', 'Free To Play')",BLOODSTRIKE,6244,0,No user reviews,0,"(0, 20, 21, 18, 24, 1, 4, 35)","(0, 3, 4, 2, 1)"
1366540,0,False,7700,Youthcat Studio,"('Single-player', 'Steam Achievements', 'Family Sharing')",2021-01-20 00:00:00,"('Indie', 'Simulation', 'Strategy', 'Early Access')",Dyson Sphere Program,59815,9,Overwhelmingly Positive,23542,"(22, 25, 36)","(7, 12, 2, 15)"
1172710,17,False,35000,Funcom,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud')",2025-06-10 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'RPG')",Dune: Awakening,189333,6,Mostly Positive,41459,"(22, 0, 18, 24, 25, 26, 5, 6, 7, 8, 9, 49, 10, 31, 11, 32)","(0, 3, 4, 5)"
400750,0,False,18000,Barbedwire Studios,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Family Sharing')",2021-06-11 00:00:00,"('Action', 'Simulation', 'Strategy')",Call to Arms - Gates of Hell: Ostfront,8919,8,Very Positive,10674,"(22, 0, 20, 21, 18, 24, 25, 2, 3, 35, 32, 13, 59, 34, 36)","(0, 12, 2)"
1009850,0,False,4700,OVRAS Team,"('Tracked Controller Support', 'VR Only')",2020-04-14 00:00:00,"('Utilities',)",OVR Advanced Settings,6418,8,Very Positive,206,"(50, 65)","(11,)"
1966720,0,False,5750,Zeekerss,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Custom Volume Controls', 'Stereo Sound', 'Partial Controller Support', 'Family Sharing')",2023-10-23 00:00:00,"('Action', 'Adventure', 'Indie', 'Early Access')",Lethal Company,240817,9,Overwhelmingly Positive,269875,"(22, 0, 18, 24, 8, 10, 35, 36)","(0, 3, 7, 15)"
2622000,0,True,0,STAR ENGINE PROJECT,"('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases')",2024-02-28 00:00:00,"('Casual', 'Indie', 'RPG', 'Strategy')",Astral Party,34387,0,No user reviews,0,"(0, 20, 21, 18, 24, 4)","(6, 7, 5, 2)"
48700,0,False,11990,TaleWorlds Entertainment,"('Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing')",2010-03-31 00:00:00,"('Action', 'RPG')",Mount & Blade: Warband,33054,9,Overwhelmingly Positive,54213,"(22, 0, 25, 2, 3, 36)","(0, 5)"
835570,0,True,0,Booming Tech,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases')",2020-04-05 00:00:00,"('Action', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play')",Conqueror's Blade,19178,6,Mostly Positive,280,"(0, 23, 20, 21, 18, 24, 25, 4)","(0, 4, 5, 2, 1)"
262060,0,False,13000,Red Hook Studios,"('Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing')",2016-01-19 00:00:00,"('Indie', 'RPG', 'Strategy')",Darkest Dungeon®,20064,8,Very Positive,54608,"(22, 25, 2, 35, 32, 15, 36)","(7, 5, 2)"
