appid,required_age,is_free,price,developers,categories,release_date,genres,name,Historico,review_score,review_score_desc,total_reviews,categories_numerico,genres_numerico
230410,17,True,0,Digital Extremes,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available')",2013-03-25 00:00:00,"('Action', 'RPG', 'Free To Play')",Warframe,189837,8,Very Positive,1141,"(22, 0, 18, 24, 1, 25, 26, 2, 3, 4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 33)","(0, 5, 1)"
3898830,0,False,0,Playroom,"('Singleplayer', 'Multiplayer', 'PvP', 'Online PvP', 'OS-onafhankelijke multiplayer', 'Aangepaste volumebesturing', 'Optie voor alleen toetsenbord', 'Optie voor alleen muis', 'Speelbaar zonder tijdgevoelige invoer', 'Altijd opslaan', 'Stereogeluid', 'Optie voor alleen touchbesturing', 'Gezinsbibliotheek')",,"('Casual',)",Banana,917272,0,No user reviews,0,"(37, 38, 20, 21, 39, 40, 41, 42, 43, 44, 45, 46, 47)","(6,)"
236390,0,True,0,Gaijin Entertainment,"('Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet')",2013-08-15 00:00:00,"('Action', 'Massively Multiplayer', 'Simulation', 'Free To Play')",War Thunder,121318,5,Mixed,800,"(22, 0, 23, 20, 21, 18, 24, 1, 25, 26, 48, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15)","(0, 4, 12, 1)"
3240220,17,False,26990,Rockstar North,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet')",2025-03-04 00:00:00,"('Action', 'Adventure', 'Racing')",Grand Theft Auto V Enhanced,187059,6,Mostly Positive,35681,"(22, 0, 20, 21, 18, 24, 25, 4, 35, 14, 15)","(0, 3, 13)"
1507780,0,False,7700,Strange Scaffold,"('Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing')",2021-12-07 00:00:00,"('Simulation', 'Strategy')",Spacewar,138416,8,Very Positive,654,"(22, 25, 35, 32, 36)","(12, 2)"
238960,0,True,0,Grinding Gear Games,"('Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet')",2013-10-23 00:00:00,"('Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Free To Play')",Path of Exile,229337,8,Very Positive,545,"(22, 0, 23, 20, 21, 18, 24, 25, 26, 2, 4, 15)","(0, 3, 7, 4, 5, 1)"
3551340,0,False,49900,Sports Interactive,"('Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Adjustable Text Size', 'Playable without Timed Input', 'Save Anytime', 'Steam Cloud', 'Family Sharing')",2025-11-04 00:00:00,"('Simulation', 'Sports', 'Strategy')",Football Manager 26,84909,4,Mostly Negative,5365,"(22, 0, 25, 26, 3, 5, 9, 49, 32, 36)","(12, 14, 2)"
2767030,0,True,0,NetEase Games,"('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases')",2024-12-05 00:00:00,"('Action', 'Free To Play')",Marvel Rivals,644269,0,No user reviews,0,"(0, 20, 21, 18, 24, 1, 25, 26, 4)","(0, 1)"
438100,0,True,0,VRChat Inc.,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'In-App Purchases')",2017-02-01 00:00:00,"('Adventure', 'Casual', 'Massively Multiplayer', 'Simulation', 'Sports', 'Free To Play', 'Early Access')",VRChat,66824,8,Very Positive,110,"(0, 23, 20, 21, 18, 24, 1, 26, 50, 48, 4)","(3, 6, 4, 12, 14, 1, 15)"
3241660,0,False,5750,semiwork,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Family Sharing')",2025-02-26 00:00:00,"('Action', 'Early Access')",R.E.P.O.,271571,9,Overwhelmingly Positive,97468,"(22, 0, 18, 24, 6, 8, 9, 10, 32, 36)","(0, 15)"
