clave,genero
Action,0
Free To Play,1
Strategy,2
Adventure,3
Massively Multiplayer,4
RPG,5
Casual,6
Indie,7
Animation & Modeling,8
Design & Illustration,9
Photo Editing,10
Utilities,11
Simulation,12
Racing,13
Sports,14
Early Access,15
Video Production,16
Education,17
Software Training,18
Audio Production,19
Aksi,20
Game Development,21
Web Publishing,22
Violent,23
Gore,24
